TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
HF-F;7587;TOTAL;825
HF-F;7609;TOTAL;363
HF-F;7611;TOTAL;945
HF-F;7612;TOTAL;679
HF-F;7630;TOTAL;2134
HF-F;7631;TOTAL;3220
HF-F;7632;TOTAL;485
HF-F;7634;TOTAL;3077
HF-F;7646;TOTAL;436
HF-F;7648;TOTAL;179
HF-F;7665;TOTAL;476
HF-F;7666;TOTAL;1138
HF-F;7681;TOTAL;910
HF-F;7682;TOTAL;703
HF-F;8401;TOTAL;1775
HF-F;8403;TOTAL;761
HF-F;8407;TOTAL;983
HF-F;8415;TOTAL;351
HF-F;8426;TOTAL;1547
HF-F;8438;TOTAL;3568
HF-F;8442;TOTAL;2010
HF-F;8443;TOTAL;562
HF-F;8463;TOTAL;1598
HF-F;8469;TOTAL;5193
HF-F;8473;TOTAL;1184
HF-F;8474;TOTAL;2396
HF-F;9304;TOTAL;448
HF-F;9305;TOTAL;385
HF-F;9306;TOTAL;3166
HF-F;9313;TOTAL;5712
HF-F;9383;TOTAL;3131
HF-F;9384;TOTAL;1641
HF-F;942A;TOTAL;451
HF-F;942B;TOTAL;501
HF-F;971;TOTAL;848
HF-F;972;TOTAL;897
HF-F;973;TOTAL;554
HF-F;974;TOTAL;2469
HF-F;976;TOTAL;454
HF-F;11XX;14_19;218
HF-F;11XX;20_24;3981
HF-F;11XX;25_29;10986
HF-F;11XX;30_34;8954
HF-F;11XX;35_39;4503
HF-F;11XX;40_49;3867
HF-F;11XX;50_59;1547
HF-F;11XX;60_PL;528
HF-F;24XX;14_19;40
HF-F;24XX;20_24;583
HF-F;24XX;25_29;1654
HF-F;24XX;30_34;1632
HF-F;24XX;35_39;981
HF-F;24XX;40_49;896
HF-F;24XX;50_59;435
HF-F;24XX;60_PL;110
HF-F;27XX;14_19;34
HF-F;27XX;20_24;761
HF-F;27XX;25_29;1989
HF-F;27XX;30_34;1881
HF-F;27XX;35_39;1115
HF-F;27XX;40_49;904
HF-F;27XX;50_59;403
HF-F;27XX;60_PL;130
HF-F;28XX;14_19;47
HF-F;28XX;20_24;708
HF-F;28XX;25_29;2462
HF-F;28XX;30_34;2426
HF-F;28XX;35_39;1407
HF-F;28XX;40_49;1248
HF-F;28XX;50_59;593
HF-F;28XX;60_PL;140
HF-F;32XX;14_19;98
HF-F;32XX;20_24;1658
HF-F;32XX;25_29;4913
HF-F;32XX;30_34;4069
HF-F;32XX;35_39;2289
HF-F;32XX;40_49;1992
HF-F;32XX;50_59;738
HF-F;32XX;60_PL;188
HF-F;44XX;14_19;92
HF-F;44XX;20_24;1675
HF-F;44XX;25_29;4511
HF-F;44XX;30_34;3812
HF-F;44XX;35_39;2120
